date,average,max,sum
2020-05-14,2710.5416666666665,3186,65053
2020-05-15,2730.5416666666665,3244,65533
2020-05-16,2476.5833333333335,2767,59438
2020-05-17,2373.9583333333335,2772,56975
2020-05-18,2724.2916666666665,3225,65383
2020-05-19,2771.25,3222,66510
2020-05-20,2741.5,3120,65796
2020-05-21,2836.8333333333335,3251,68084
2020-05-22,2714.9583333333335,3070,65159
2020-05-23,2438.3333333333335,2714,58520
2020-05-24,2324.75,2704,55794
2020-05-25,2707.5833333333335,3317,64982
2020-05-26,2803.5,3289,67284
2020-05-27,2804.5833333333335,3307,67310
2020-05-28,2738.125,3237,65715
2020-05-29,2723.4583333333335,3245,65363
2020-05-30,2494.4583333333335,2821,59867
2020-05-31,2356.875,2743,56565
2020-06-01,2791.375,3357,66993
2020-06-02,2935.2083333333335,3529,70445
2020-06-03,3013.4166666666665,3745,72322
2020-06-04,3024.0833333333335,3690,72578
2020-06-05,3108.0,3918,74592
2020-06-06,2751.4166666666665,3223,66034
2020-06-07,2477.5416666666665,2904,59461
2020-06-08,2956.0833333333335,3671,70946
2020-06-09,3207.4166666666665,4061,76978
2020-06-10,3260.5416666666665,4149,78253
2020-06-11,3323.0833333333335,4279,79754
2020-06-12,3373.2083333333335,4345,80957
2020-06-13,2774.9166666666665,3192,66598
2020-06-14,2581.8333333333335,3054,61964
2020-06-15,3304.75,4344,79314
2020-06-16,3261.0416666666665,4100,78265
2020-06-17,3107.4583333333335,3832,74579
2020-06-18,3032.5416666666665,3625,72781
2020-06-19,2872.625,3364,68943
2020-06-20,2651.7083333333335,3035,63641
2020-06-21,2514.5416666666665,2934,60349
2020-06-22,2850.1666666666665,3463,68404
2020-06-23,2985.4583333333335,3537,71651
2020-06-24,3001.5416666666665,3573,72037
2020-06-25,2945.6666666666665,3424,70696
2020-06-26,3170.875,3972,76101
2020-06-27,2956.4166666666665,3437,70954
2020-06-28,2660.4583333333335,3052,63851
2020-06-29,3092.4583333333335,3850,74219
2020-06-30,3209.0833333333335,3885,77018
2020-07-01,3291.7916666666665,3984,79003
2020-07-02,3368.625,4198,80847
2020-07-03,3167.1666666666665,4005,76012
2020-07-04,2830.9583333333335,3254,67943
2020-07-05,2767.125,3199,66411
2020-07-06,3233.3333333333335,3936,77600
2020-07-07,3485.5416666666665,4238,83653
2020-07-08,3379.5833333333335,4200,81110
2020-07-09,3286.4583333333335,4011,78875
2020-07-10,3303.625,3970,79287
2020-07-11,3127.0416666666665,3661,75049
2020-07-12,2984.2916666666665,3610,71623
2020-07-13,2995.3333333333335,3592,71888
2020-07-14,3129.625,3774,75111
2020-07-15,3045.3333333333335,3680,73088
2020-07-16,2973.3333333333335,3520,71360
2020-07-17,2931.5416666666665,3419,70357
2020-07-18,2700.375,3037,64809
2020-07-19,2765.4583333333335,3314,66371
2020-07-20,3438.875,4497,82533
2020-07-21,3383.75,4138,81210
2020-07-22,3545.4583333333335,4439,85091
2020-07-23,3010.0833333333335,3435,72242
2020-07-24,2914.3333333333335,3459,69944
2020-07-25,2950.6666666666665,3418,70816
2020-07-26,2914.1666666666665,3471,69940
2020-07-27,3401.5416666666665,4328,81637
2020-07-28,3515.1666666666665,4359,84364
2020-07-29,3158.3333333333335,3730,75800
2020-07-30,3106.5416666666665,3727,74557
2020-07-31,3270.0416666666665,4019,78481
2020-08-01,3029.1666666666665,3635,72700
2020-08-02,2940.0416666666665,3554,70561
2020-08-03,3564.6666666666665,4675,85552
2020-08-04,3837.3333333333335,4960,92096
2020-08-05,3983.125,5148,95595
2020-08-06,3959.25,5086,95022
2020-08-07,3967.0833333333335,5095,95210
2020-08-08,3386.6666666666665,4031,81280
2020-08-09,3326.5833333333335,4119,79838
2020-08-10,3611.2083333333335,4432,86669
2020-08-11,4011.9583333333335,5103,96287
2020-08-12,3868.8333333333335,4965,92852
2020-08-13,3715.125,4746,89163
2020-08-14,3639.0416666666665,4472,87337
2020-08-15,3738.7916666666665,4641,89731
2020-08-16,3705.875,4431,88941
2020-08-17,4278.625,5596,102687
2020-08-18,4244.375,5408,101865
2020-08-19,4126.0,5312,99024
2020-08-20,4240.708333333333,5497,101777
2020-08-21,4309.0,5604,103416
2020-08-22,3731.7916666666665,4671,89563
2020-08-23,3123.25,3736,74958
2020-08-24,3772.9583333333335,4905,90551
2020-08-25,3870.2083333333335,4939,92885
2020-08-26,4016.8333333333335,5091,96404
2020-08-27,4161.583333333333,5256,99878
2020-08-28,4223.333333333333,5320,101360
2020-08-29,3856.9166666666665,4713,92566
2020-08-30,3653.6666666666665,4383,87688
2020-08-31,3830.1666666666665,4921,91924
2020-09-01,3478.5,4169,83484
2020-09-02,3801.7083333333335,4855,91241
2020-09-03,4018.5,5104,96444
2020-09-04,4138.75,5570,99330
2020-09-05,3630.75,4525,87138
2020-09-06,3156.4583333333335,3760,75755
2020-09-07,3760.7916666666665,4839,90259
2020-09-08,4048.2916666666665,5312,97159
2020-09-09,4037.625,5251,96903
